case,engine,metric,median,min,max,qualification
normal,sqlite,cleared_app_cache_p50_us,9.8,9.0,9.9,
normal,sqlite,reopen_ms,9.6129,8.7159,9.6217,Close/reopen connection and reapply PRAGMAs.
normal,sqlite,maintenance_ms,17.5255,17.2317,21.5115,"Checkpoint, VACUUM, checkpoint and integrity_check."
normal,sqlite,final_owned_file_bytes,200704.0,200704.0,200704.0,All owned database/WAL file lengths.
normal,redb,load_ms,24.8555,23.6786,25.3691,
normal,redb,warm_hit_p50_us,0.9,0.8,0.9,
normal,redb,warm_hit_p99_us,3.7,3.4,4.1,
normal,redb,missing_p50_us,0.8,0.8,0.8,
normal,redb,range_p50_us,21.5,20.4,25.9,
normal,redb,reused_16_key_p50_us,0.8,0.7,0.8,
normal,redb,unique_reads_ms,1.9679,1.845,2.0428,
normal,redb,one_off_scan_ms,0.6976,0.6457,0.714,
normal,redb,updates_ms,43.6332,42.771,46.5624,
normal,redb,durable_mutation_p50_us,2823.2,2685.6,2840.4,
normal,redb,post_mutation_scan_ms,0.78,0.6912,1.3371,
normal,redb,post_mutation_range_p50_us,1.4,1.4,1.6,
normal,redb,post_compaction_scan_ms,0.6667,0.5911,0.8495,
normal,redb,cleared_app_cache_p50_us,39.2,36.0,40.2,
normal,redb,reopen_ms,18.8353,16.2004,20.9779,Close/reopen database.
normal,redb,maintenance_ms,66.3575,35.4562,79.9096,"Native compact, then harness full-output reopen check; not the SPI verify algorithm."
normal,redb,final_owned_file_bytes,327680.0,327680.0,327680.0,Owned file lengths.
normal,lmdb,load_ms,24.5889,23.0752,25.0432,
normal,lmdb,warm_hit_p50_us,0.3,0.2,0.3,
normal,lmdb,warm_hit_p99_us,1.9,1.7,2.2,
normal,lmdb,missing_p50_us,0.2,0.2,0.2,
normal,lmdb,range_p50_us,7.6,7.6,7.8,
normal,lmdb,reused_16_key_p50_us,0.2,0.2,0.2,
normal,lmdb,unique_reads_ms,0.4415,0.436,0.4474,
normal,lmdb,one_off_scan_ms,0.2264,0.1877,0.2371,
normal,lmdb,updates_ms,39.8718,38.2563,39.9259,
normal,lmdb,durable_mutation_p50_us,2728.9,2576.9,2735.3,
normal,lmdb,post_mutation_scan_ms,0.3326,0.2816,0.9445,
normal,lmdb,post_mutation_range_p50_us,0.4,0.4,0.6,
normal,lmdb,post_compaction_scan_ms,0.2911,0.2909,0.3265,
normal,lmdb,cleared_app_cache_p50_us,,0.3,0.3,"not comparable: adapter has no application-cache clear, raw warm observations retained"
normal,lmdb,reopen_ms,9.4557,7.9545,10.6894,Close/reopen environment; OS cache remains warm.
normal,lmdb,maintenance_ms,2.5296,2.2879,2.5983,"Forced environment sync only, NOT compaction. Full output validated after reopen."
normal,lmdb,final_owned_file_bytes,1073750016.0,1073750016.0,1073750016.0,"Owned file lengths, not resident mapped bytes."
normal,rocksdb,load_ms,23.1599,21.9691,23.4949,
normal,rocksdb,warm_hit_p50_us,0.6,0.6,0.6,
normal,rocksdb,warm_hit_p99_us,1.3,1.2,1.5,
normal,rocksdb,missing_p50_us,0.5,0.4,0.5,
normal,rocksdb,range_p50_us,54.0,35.7,86.6,
normal,rocksdb,reused_16_key_p50_us,1.2,1.0,2.7,
normal,rocksdb,unique_reads_ms,4.68,2.4284,6.3471,
normal,rocksdb,one_off_scan_ms,0.9165,0.8594,1.5608,
normal,rocksdb,updates_ms,22.5754,20.4738,24.1863,
normal,rocksdb,durable_mutation_p50_us,2690.9,2488.1,2834.2,
normal,rocksdb,post_mutation_scan_ms,1.1104,1.0692,1.5329,
normal,rocksdb,post_mutation_range_p50_us,5.1,4.7,10.6,
normal,rocksdb,post_compaction_scan_ms,1.1672,0.9693,1.596,
normal,rocksdb,cleared_app_cache_p50_us,53.6,50.3,57.4,
normal,rocksdb,reopen_ms,83.0139,70.786,100.9076,Close/reopen DB; recovery/memtable state can differ from other engines.
normal,rocksdb,maintenance_ms,20.2667,20.0275,25.046,Flush and compact_range; must wait for completion. Not SPI integrity verification.
normal,rocksdb,final_owned_file_bytes,3429166.0,3429164.0,3429166.0,"Owned SST, WAL and metadata file lengths."
normal,duckdb,load_ms,3394.0346,3373.5439,4028.6819,
normal,duckdb,warm_hit_p50_us,287.6,274.7,288.0,
normal,duckdb,warm_hit_p99_us,631.6,626.7,661.7,
normal,duckdb,missing_p50_us,221.9,216.5,222.2,
normal,duckdb,range_p50_us,772.8,749.2,793.8,
normal,duckdb,reused_16_key_p50_us,298.9,283.4,312.0,
normal,duckdb,unique_reads_ms,634.8782,607.8254,642.1075,
normal,duckdb,one_off_scan_ms,5.7439,4.6162,5.873,
normal,duckdb,updates_ms,1105.5105,1057.6423,1118.9722,
normal,duckdb,durable_mutation_p50_us,5541.0,5431.5,5563.8,
normal,duckdb,post_mutation_scan_ms,5.4338,5.0332,6.1297,
normal,duckdb,post_mutation_range_p50_us,646.0,607.9,670.3,
normal,duckdb,post_compaction_scan_ms,4.8132,4.5701,5.5727,
normal,duckdb,cleared_app_cache_p50_us,684.7,667.5,751.7,
normal,duckdb,reopen_ms,43.9396,43.1843,48.476,Close/reopen embedded DB and reprepare statements.
normal,duckdb,maintenance_ms,0.2885,0.2726,0.3328,"CHECKPOINT only, NOT VACUUM or full integrity utility."
normal,duckdb,final_owned_file_bytes,1323008.0,1323008.0,1323008.0,Owned file lengths.
small,spi-packed,load_ms,128.928,128.608,131.127,
small,spi-packed,warm_hit_p50_us,24.6,23.8,25.2,
small,spi-packed,warm_hit_p99_us,55.7,53.9,65.5,
small,spi-packed,missing_p50_us,13.0,12.4,13.2,
small,spi-packed,range_p50_us,45.5,39.7,48.0,
small,spi-packed,reused_16_key_p50_us,16.1,15.1,16.2,
small,spi-packed,unique_reads_ms,33.1773,31.3758,34.9764,
small,spi-packed,one_off_scan_ms,0.4828,0.4698,0.5217,
small,spi-packed,updates_ms,128.4424,126.9098,131.9996,
small,spi-packed,durable_mutation_p50_us,9564.0,9377.1,9902.6,
small,spi-packed,post_mutation_scan_ms,0.7279,0.6177,0.8429,
small,spi-packed,post_mutation_range_p50_us,37.3,32.8,43.2,
small,spi-packed,post_compaction_scan_ms,0.5261,0.4911,0.7888,
small,spi-packed,cleared_app_cache_p50_us,30.6,29.0,31.1,
small,spi-packed,reopen_ms,9.8893,6.2398,10.7841,Drop database handle and reopen committed root.
small,spi-packed,maintenance_ms,24.0687,21.6039,42.4098,"Whole-epoch compaction, collection and explicit integrity verification."
small,spi-packed,final_owned_file_bytes,193600.0,193600.0,193600.0,"All owned database file lengths, not allocated device bytes."
small,sqlite,load_ms,26.6526,26.4539,30.8518,
small,sqlite,warm_hit_p50_us,9.5,9.1,9.8,
small,sqlite,warm_hit_p99_us,29.5,22.3,44.6,
small,sqlite,missing_p50_us,8.8,8.8,8.8,
small,sqlite,range_p50_us,34.8,34.5,35.2,
small,sqlite,reused_16_key_p50_us,9.0,8.9,9.5,
small,sqlite,unique_reads_ms,18.6112,18.5019,20.3487,
small,sqlite,one_off_scan_ms,0.5502,0.5315,0.6531,
small,sqlite,updates_ms,48.5541,44.4264,51.5956,
small,sqlite,durable_mutation_p50_us,2742.8,2517.2,3135.9,
small,sqlite,post_mutation_scan_ms,0.6165,0.6081,0.6643,
small,sqlite,post_mutation_range_p50_us,12.2,10.8,12.4,
small,sqlite,post_compaction_scan_ms,0.5439,0.5244,0.9749,
small,sqlite,cleared_app_cache_p50_us,9.4,9.2,9.5,
small,sqlite,reopen_ms,10.7455,9.3835,11.4906,Close/reopen connection and reapply PRAGMAs.
small,sqlite,maintenance_ms,21.0791,20.0393,24.5855,"Checkpoint, VACUUM, checkpoint and integrity_check."
small,sqlite,final_owned_file_bytes,200704.0,200704.0,200704.0,All owned database/WAL file lengths.
small,redb,load_ms,27.2868,26.7586,29.067,
small,redb,warm_hit_p50_us,7.1,6.5,7.3,
small,redb,warm_hit_p99_us,31.0,10.8,31.6,
small,redb,missing_p50_us,6.8,6.5,7.0,
small,redb,range_p50_us,34.6,33.7,37.6,
small,redb,reused_16_key_p50_us,6.4,6.4,6.4,
small,redb,unique_reads_ms,13.6127,13.0396,13.9564,
small,redb,one_off_scan_ms,0.5599,0.5421,0.5664,
small,redb,updates_ms,53.7063,51.1614,55.4074,
small,redb,durable_mutation_p50_us,3009.7,2818.7,3010.8,
small,redb,post_mutation_scan_ms,0.94,0.6746,1.0999,
small,redb,post_mutation_range_p50_us,12.8,12.5,28.7,
small,redb,post_compaction_scan_ms,0.5364,0.5015,0.6544,
small,redb,cleared_app_cache_p50_us,17.6,15.8,19.1,
small,redb,reopen_ms,19.732,19.194,22.1442,Close/reopen database.
small,redb,maintenance_ms,73.1842,36.339,81.078,"Native compact, then harness full-output reopen check; not the SPI verify algorithm."
small,redb,final_owned_file_bytes,327680.0,327680.0,327680.0,Owned file lengths.
small,lmdb,load_ms,23.2754,22.1226,26.418,
small,lmdb,warm_hit_p50_us,0.3,0.3,0.3,
small,lmdb,warm_hit_p99_us,2.0,1.7,2.4,
small,lmdb,missing_p50_us,0.2,0.2,0.2,
small,lmdb,range_p50_us,7.3,6.7,7.7,
small,lmdb,reused_16_key_p50_us,0.2,0.2,0.2,
small,lmdb,unique_reads_ms,0.4339,0.4047,0.4479,
small,lmdb,one_off_scan_ms,0.1938,0.1591,0.2136,
small,lmdb,updates_ms,40.2759,37.2754,44.1873,
small,lmdb,durable_mutation_p50_us,2773.0,2533.3,2881.3,
small,lmdb,post_mutation_scan_ms,0.3188,0.3042,0.3338,
small,lmdb,post_mutation_range_p50_us,0.4,0.4,0.6,
small,lmdb,post_compaction_scan_ms,0.2681,0.2549,0.3358,
small,lmdb,cleared_app_cache_p50_us,,0.2,0.3,"not comparable: adapter has no application-cache clear, raw warm observations retained"
small,lmdb,reopen_ms,9.115,6.9118,9.7538,Close/reopen environment; OS cache remains warm.
small,lmdb,maintenance_ms,2.6733,2.4644,3.2341,"Forced environment sync only, NOT compaction. Full output validated after reopen."
small,lmdb,final_owned_file_bytes,1073750016.0,1073750016.0,1073750016.0,"Owned file lengths, not resident mapped bytes."
small,rocksdb,load_ms,22.7936,21.0367,23.7177,
small,rocksdb,warm_hit_p50_us,0.6,0.5,0.6,
small,rocksdb,warm_hit_p99_us,1.4,1.3,3.0,
small,rocksdb,missing_p50_us,0.5,0.4,0.6,
small,rocksdb,range_p50_us,79.0,42.3,94.9,
small,rocksdb,reused_16_key_p50_us,10.5,3.8,10.6,
small,rocksdb,unique_reads_ms,23.5545,8.1204,23.7395,
small,rocksdb,one_off_scan_ms,1.2087,0.8215,1.3642,
small,rocksdb,updates_ms,24.2365,21.7936,25.4426,
small,rocksdb,durable_mutation_p50_us,2746.4,2699.4,3006.6,
small,rocksdb,post_mutation_scan_ms,1.2999,1.0544,1.8331,
small,rocksdb,post_mutation_range_p50_us,25.6,12.4,31.1,
small,rocksdb,post_compaction_scan_ms,1.3514,0.8901,1.6748,
small,rocksdb,cleared_app_cache_p50_us,53.1,52.1,60.6,
small,rocksdb,reopen_ms,101.2392,77.2343,107.6279,Close/reopen DB; recovery/memtable state can differ from other engines.
small,rocksdb,maintenance_ms,25.1256,22.1827,27.1618,Flush and compact_range; must wait for completion. Not SPI integrity verification.
small,rocksdb,final_owned_file_bytes,3428334.0,3428332.0,3428334.0,"Owned SST, WAL and metadata file lengths."
small,duckdb,load_ms,3464.1541,3293.4607,3877.8273,
small,duckdb,warm_hit_p50_us,297.8,276.1,307.3,
small,duckdb,warm_hit_p99_us,642.7,638.5,742.0,
small,duckdb,missing_p50_us,234.1,211.4,250.4,
small,duckdb,range_p50_us,846.2,651.0,850.4,
small,duckdb,reused_16_key_p50_us,311.1,305.6,324.2,
small,duckdb,unique_reads_ms,641.9138,620.8115,688.8855,
small,duckdb,one_off_scan_ms,5.2751,4.7933,5.5332,
small,duckdb,updates_ms,1129.585,1111.6336,1152.1786,
small,duckdb,durable_mutation_p50_us,5811.5,5702.0,5818.9,
small,duckdb,post_mutation_scan_ms,5.4712,5.2317,5.6966,
small,duckdb,post_mutation_range_p50_us,661.9,631.1,838.0,
small,duckdb,post_compaction_scan_ms,4.9885,4.7816,5.7698,
small,duckdb,cleared_app_cache_p50_us,762.5,702.7,771.5,
small,duckdb,reopen_ms,47.659,47.3466,51.3873,Close/reopen embedded DB and reprepare statements.
small,duckdb,maintenance_ms,0.2837,0.2474,0.3263,"CHECKPOINT only, NOT VACUUM or full integrity utility."
small,duckdb,final_owned_file_bytes,1323008.0,1323008.0,1323008.0,Owned file lengths.
small,spi,load_ms,272.1252,257.6461,277.9755,
small,spi,warm_hit_p50_us,50.2,49.6,51.4,
small,spi,warm_hit_p99_us,111.1,88.9,124.3,
small,spi,missing_p50_us,38.9,37.3,39.1,
small,spi,range_p50_us,824.7,779.9,869.9,
small,spi,reused_16_key_p50_us,42.7,40.5,43.5,
small,spi,unique_reads_ms,98.2555,92.195,99.2346,
small,spi,one_off_scan_ms,16.2868,14.6545,17.121,
small,spi,updates_ms,162.7619,160.677,165.013,
small,spi,durable_mutation_p50_us,9762.1,9625.6,9835.6,
small,spi,post_mutation_scan_ms,16.5867,15.6357,17.3856,
small,spi,post_mutation_range_p50_us,60.8,57.0,128.9,
small,spi,post_compaction_scan_ms,15.6154,15.0933,16.5637,
small,spi,cleared_app_cache_p50_us,49.6,49.4,52.2,
small,spi,reopen_ms,8.2914,8.202,8.7529,Drop database handle and reopen committed root.
small,spi,maintenance_ms,54.2245,53.7965,61.2643,"Whole-epoch compaction, collection and explicit integrity verification."
small,spi,final_owned_file_bytes,352072.0,352072.0,352072.0,"All owned database file lengths, not allocated device bytes."
large,sqlite,load_ms,74.3788,73.7785,79.8602,
large,sqlite,warm_hit_p50_us,36.5,35.4,36.6,
large,sqlite,warm_hit_p99_us,130.7,126.7,140.7,
large,sqlite,missing_p50_us,21.4,20.9,22.5,
large,sqlite,range_p50_us,567.9,550.4,575.2,
large,sqlite,reused_16_key_p50_us,23.3,23.2,23.9,
large,sqlite,unique_reads_ms,28.2689,28.1263,28.9871,
large,sqlite,one_off_scan_ms,4.2383,4.1882,5.3931,
large,sqlite,updates_ms,50.1472,49.6273,52.3472,
large,sqlite,durable_mutation_p50_us,2651.4,2619.8,2782.7,
large,sqlite,post_mutation_scan_ms,5.4562,5.2586,6.6291,
large,sqlite,post_mutation_range_p50_us,46.5,45.2,54.1,
large,sqlite,post_compaction_scan_ms,5.2231,4.4636,5.8781,
large,sqlite,cleared_app_cache_p50_us,52.2,51.2,53.8,
large,sqlite,reopen_ms,12.7402,12.4012,14.1187,Close/reopen connection and reapply PRAGMAs.
large,sqlite,maintenance_ms,65.4768,65.3215,68.0075,"Checkpoint, VACUUM, checkpoint and integrity_check."
large,sqlite,final_owned_file_bytes,4657152.0,4657152.0,4657152.0,All owned database/WAL file lengths.
large,redb,load_ms,45.5768,42.6487,49.1037,
large,redb,warm_hit_p50_us,1.8,1.7,1.9,
large,redb,warm_hit_p99_us,55.9,52.8,56.1,
large,redb,missing_p50_us,0.8,0.8,0.8,
large,redb,range_p50_us,168.4,130.5,230.4,
large,redb,reused_16_key_p50_us,1.2,1.1,1.8,
large,redb,unique_reads_ms,9.6929,9.1942,15.5799,
large,redb,one_off_scan_ms,9.8758,9.4544,14.0866,
large,redb,updates_ms,66.5424,64.1025,101.7247,
large,redb,durable_mutation_p50_us,2997.4,2923.0,3449.7,
large,redb,post_mutation_scan_ms,10.7548,10.0899,16.3103,
large,redb,post_mutation_range_p50_us,4.3,3.5,5.0,
large,redb,post_compaction_scan_ms,11.5421,8.7219,17.2282,
large,redb,cleared_app_cache_p50_us,73.3,60.5,82.1,
large,redb,reopen_ms,20.945,20.0524,24.9938,Close/reopen database.
large,redb,maintenance_ms,104.2824,101.6619,138.0806,"Native compact, then harness full-output reopen check; not the SPI verify algorithm."
large,redb,final_owned_file_bytes,8302592.0,8302592.0,8310784.0,Owned file lengths.
large,lmdb,load_ms,37.608,35.7495,42.2123,
large,lmdb,warm_hit_p50_us,3.0,3.0,3.3,
large,lmdb,warm_hit_p99_us,55.8,53.0,75.5,
large,lmdb,missing_p50_us,0.3,0.2,0.3,
large,lmdb,range_p50_us,58.2,49.4,64.5,
large,lmdb,reused_16_key_p50_us,0.5,0.5,0.6,
large,lmdb,unique_reads_ms,0.8257,0.6037,0.9678,
large,lmdb,one_off_scan_ms,1.5668,1.4181,2.1501,
large,lmdb,updates_ms,55.5984,48.1154,70.6002,
large,lmdb,durable_mutation_p50_us,2792.6,2650.4,2910.4,
large,lmdb,post_mutation_scan_ms,3.6908,3.5409,4.9922,
large,lmdb,post_mutation_range_p50_us,1.2,1.2,1.9,
large,lmdb,post_compaction_scan_ms,3.9855,3.8759,4.4313,
large,lmdb,cleared_app_cache_p50_us,,0.7,0.8,"not comparable: adapter has no application-cache clear, raw warm observations retained"
large,lmdb,reopen_ms,10.0395,9.0203,10.2274,Close/reopen environment; OS cache remains warm.
large,lmdb,maintenance_ms,2.4976,2.4923,2.6441,"Forced environment sync only, NOT compaction. Full output validated after reopen."
large,lmdb,final_owned_file_bytes,1073750016.0,1073750016.0,1073750016.0,"Owned file lengths, not resident mapped bytes."
large,rocksdb,load_ms,32.5936,32.1926,35.7852,
large,rocksdb,warm_hit_p50_us,1.3,1.3,1.5,
large,rocksdb,warm_hit_p99_us,52.0,51.1,52.5,
large,rocksdb,missing_p50_us,0.5,0.4,0.6,
large,rocksdb,range_p50_us,327.4,156.5,336.1,
large,rocksdb,reused_16_key_p50_us,2.9,1.3,3.2,
large,rocksdb,unique_reads_ms,14.8142,6.4625,15.1684,
large,rocksdb,one_off_scan_ms,7.6145,5.2713,8.0054,
large,rocksdb,updates_ms,43.1818,41.3488,43.6867,
large,rocksdb,durable_mutation_p50_us,2798.2,2714.8,2892.4,
large,rocksdb,post_mutation_scan_ms,10.7116,6.6335,11.6021,
large,rocksdb,post_mutation_range_p50_us,20.5,9.8,20.9,
large,rocksdb,post_compaction_scan_ms,8.8409,8.4345,9.3055,
large,rocksdb,cleared_app_cache_p50_us,68.2,58.0,70.7,
large,rocksdb,reopen_ms,115.8927,85.6573,116.2698,Close/reopen DB; recovery/memtable state can differ from other engines.
large,rocksdb,maintenance_ms,33.9123,33.3941,35.3264,Flush and compact_range; must wait for completion. Not SPI integrity verification.
large,rocksdb,final_owned_file_bytes,7422530.0,7422528.0,7422530.0,"Owned SST, WAL and metadata file lengths."
large,duckdb,load_ms,2051.4481,2025.6382,2069.8829,
large,duckdb,warm_hit_p50_us,136.2,136.0,146.1,
large,duckdb,warm_hit_p99_us,389.3,327.2,461.8,
large,duckdb,missing_p50_us,97.6,94.5,103.7,
large,duckdb,range_p50_us,1065.3,914.4,1148.9,
large,duckdb,reused_16_key_p50_us,295.8,280.3,304.5,
large,duckdb,unique_reads_ms,325.9772,322.142,346.8687,
large,duckdb,one_off_scan_ms,13.601,12.9212,14.5882,
large,duckdb,updates_ms,2170.068,2165.3118,2266.7685,
large,duckdb,durable_mutation_p50_us,7552.5,7482.9,7716.7,
large,duckdb,post_mutation_scan_ms,15.3669,13.1593,15.854,
large,duckdb,post_mutation_range_p50_us,612.0,562.8,642.9,
large,duckdb,post_compaction_scan_ms,12.5336,11.2417,13.3861,
large,duckdb,cleared_app_cache_p50_us,787.8,765.1,801.1,
large,duckdb,reopen_ms,56.1171,53.9569,58.4982,Close/reopen embedded DB and reprepare statements.
large,duckdb,maintenance_ms,0.3555,0.2859,0.435,"CHECKPOINT only, NOT VACUUM or full integrity utility."
large,duckdb,final_owned_file_bytes,9711616.0,9711616.0,9711616.0,Owned file lengths.
large,spi,load_ms,72.7747,72.5832,82.0407,
large,spi,warm_hit_p50_us,9.5,9.4,11.2,
large,spi,warm_hit_p99_us,69.9,60.1,87.6,
large,spi,missing_p50_us,0.4,0.4,0.4,
large,spi,range_p50_us,785.8,783.0,828.4,
large,spi,reused_16_key_p50_us,6.1,6.1,6.6,
large,spi,unique_reads_ms,11.0698,10.7699,12.9316,
large,spi,one_off_scan_ms,12.4805,11.9803,12.5601,
large,spi,updates_ms,100.9658,99.9049,105.5009,
large,spi,durable_mutation_p50_us,9349.5,9313.2,9436.0,
large,spi,post_mutation_scan_ms,12.8563,12.8148,14.3705,
large,spi,post_mutation_range_p50_us,18.1,18.0,18.3,
large,spi,post_compaction_scan_ms,12.1128,12.0597,12.4666,
large,spi,cleared_app_cache_p50_us,46.2,44.4,50.9,
large,spi,reopen_ms,7.0903,6.0619,7.6638,Drop database handle and reopen committed root.
large,spi,maintenance_ms,56.8477,52.1093,59.6537,"Whole-epoch compaction, collection and explicit integrity verification."
large,spi,final_owned_file_bytes,4208072.0,4208072.0,4208072.0,"All owned database file lengths, not allocated device bytes."
large,spi-packed,load_ms,61.9514,59.1386,65.0035,
large,spi-packed,warm_hit_p50_us,8.6,8.4,8.7,
large,spi-packed,warm_hit_p99_us,61.0,60.5,63.1,
large,spi-packed,missing_p50_us,0.2,0.2,0.2,
large,spi-packed,range_p50_us,689.3,686.6,701.3,
large,spi-packed,reused_16_key_p50_us,6.2,6.2,6.4,
large,spi-packed,unique_reads_ms,7.4945,7.2721,7.5802,
large,spi-packed,one_off_scan_ms,8.7804,8.5189,8.8789,
large,spi-packed,updates_ms,98.4552,96.7941,102.0181,
large,spi-packed,durable_mutation_p50_us,9564.2,9376.8,9888.6,
large,spi-packed,post_mutation_scan_ms,9.6927,9.078,10.3949,
large,spi-packed,post_mutation_range_p50_us,69.2,64.7,77.6,
large,spi-packed,post_compaction_scan_ms,8.5839,7.92,8.9456,
large,spi-packed,cleared_app_cache_p50_us,31.2,30.4,32.0,
large,spi-packed,reopen_ms,7.2189,6.4671,7.5581,Drop database handle and reopen committed root.
large,spi-packed,maintenance_ms,52.2925,48.5223,55.3851,"Whole-epoch compaction, collection and explicit integrity verification."
large,spi-packed,final_owned_file_bytes,4160320.0,4160320.0,4160320.0,"All owned database file lengths, not allocated device bytes."
scale,redb,load_ms,258.6733,244.008,261.4007,
scale,redb,warm_hit_p50_us,0.9,0.9,1.0,
scale,redb,warm_hit_p99_us,4.7,4.6,4.7,
scale,redb,missing_p50_us,0.7,0.7,0.7,
scale,redb,range_p50_us,33.1,31.4,35.2,
scale,redb,reused_16_key_p50_us,0.7,0.7,0.8,
scale,redb,unique_reads_ms,20.1885,19.4205,20.8099,
scale,redb,one_off_scan_ms,6.427,6.0878,6.5061,
scale,redb,updates_ms,54.7144,52.7931,75.5132,
scale,redb,durable_mutation_p50_us,2829.0,2795.8,2860.5,
scale,redb,post_mutation_scan_ms,7.496,7.4573,7.8386,
scale,redb,post_mutation_range_p50_us,2.1,2.0,2.1,
scale,redb,post_compaction_scan_ms,7.3597,6.8868,7.5811,
scale,redb,cleared_app_cache_p50_us,47.8,47.2,51.7,
scale,redb,reopen_ms,17.5763,16.8284,19.5474,Close/reopen database.
scale,redb,maintenance_ms,175.0105,172.7578,185.2648,"Native compact, then harness full-output reopen check; not the SPI verify algorithm."
scale,redb,final_owned_file_bytes,3219456.0,3219456.0,3219456.0,Owned file lengths.
scale,lmdb,load_ms,226.7628,219.4176,235.5536,
scale,lmdb,warm_hit_p50_us,0.3,0.3,0.3,
scale,lmdb,warm_hit_p99_us,1.9,1.7,1.9,
scale,lmdb,missing_p50_us,0.2,0.2,0.2,
scale,lmdb,range_p50_us,6.9,6.8,7.1,
scale,lmdb,reused_16_key_p50_us,0.2,0.2,0.2,
scale,lmdb,unique_reads_ms,5.0695,4.9294,5.1281,
scale,lmdb,one_off_scan_ms,2.2001,2.0591,2.5513,
scale,lmdb,updates_ms,44.5855,43.9488,46.0204,
scale,lmdb,durable_mutation_p50_us,2768.8,2596.0,2904.6,
scale,lmdb,post_mutation_scan_ms,2.7786,2.5773,2.9599,
scale,lmdb,post_mutation_range_p50_us,0.9,0.8,1.1,
scale,lmdb,post_compaction_scan_ms,2.9088,2.6032,3.0144,
scale,lmdb,cleared_app_cache_p50_us,,0.6,0.7,"not comparable: adapter has no application-cache clear, raw warm observations retained"
scale,lmdb,reopen_ms,8.8614,8.5432,9.2998,Close/reopen environment; OS cache remains warm.
scale,lmdb,maintenance_ms,2.6724,2.3149,2.7319,"Forced environment sync only, NOT compaction. Full output validated after reopen."
scale,lmdb,final_owned_file_bytes,1073750016.0,1073750016.0,1073750016.0,"Owned file lengths, not resident mapped bytes."
scale,rocksdb,load_ms,219.5393,204.9319,255.2259,
scale,rocksdb,warm_hit_p50_us,0.7,0.6,0.7,
scale,rocksdb,warm_hit_p99_us,1.5,1.4,1.9,
